Account,#post corpus totale,#post corpus sentiment
spotted_unibo_official,12.354,7.506
spotted.unimc,8184,2.413
spotted_unicz_official,7844,343
spotted.unitorvergata,3527,615
spotted_uniud,3393,1.476
spottedunina,3306,828
spotted.unipa,2488,115
spotted_unifi,1698,1.506
spotted_uniss,1331,882
spottedbicocca,943,19
spotted.unicam,830,756
spotted.unipisa.official,739,86
spotted_unibz,577,545
uniupospotted2021,567,466
spotted.unito,430,12
tusciaspotted,415,403
univr_spotted,374,260
spotted.unisa,353,84
spottedlasapienza,321,159
spottedunipr,270,244
spotted_polimi,237,167
_officialspottedorientale,235,106
spotted_cesena_unibo,222,213
poivorreitorvergata,201,172
spottedromatreofficial,196,195
spotted_unipg,195,46
spotted_polito,172,124
spotted.univr,151,144
poivorreisapienza,142,40
spotted.unipg,141,95
spotted_unical,131,110
spotted.unibs,97,95
spottedsapienza,95,71
poivorrei_unige,88,83
spotted_unipisa,86,86
unimi.spotted,81,-
spotted.univpm,79,13
spottedunifg,72,70
spottedunire,71,70
poivorrei.cattolica,69,69
poivorreiuniba,68,60
poivorrei_unite,68,57
thespottedunivaq,66,38
spottedpoliba,63,8
poivorreiromatre,61,53
poivorreiunipg,50,46
poivorreiunisi,50,30
poivorrei_unikore,50,7
new_spottedunitn,49,-
spottedbocconiofficial,47,22
spottedunicampania,43,38
spottedunictofficial,35,15
poivorreiunipi,32,12
spotted.lumsa,24,20
spotted.unibg,24,24
spottedunipiofficial,23,23
unipa.spotted,23,115
poivorreiunifg,20,16
poivorreiunivaq,16,13
spottedunipd,14,4
spottedunipv,13,2
spotted_uni_pd,13,8
spotted.liuc,13,11
poivorrei_unich,8,8
spottedroma3,8,8
spotted_insubriaaa,8,8
poivorrei_unimc,7,7
spotted.campusbiomedico,7,7
spotted_iuav,6,5
spottediuav,6,6
poivorreiunict,5,2
spottedparthenope_,5,5
spottedsapienza_pubblica,3,-
spottedunigedad,3,2
spottedluiss,2,2
spottedunimol,1,-
spotted_unich,1,1
unisalento_spotted,1,1
